original_value,normalized_value,suggested_group,similarity_score,count,decision
CORPORATION DE DÉVELOPPEMENT CULTUREL DE TROIS-RIVIÈRES,CORPORATION DE DEVELOPPEMENT CULTUREL DE TROIS RIVIERES,CORPORATION DE DÉVELOPPEMENT CULTUREL DE TROIS-RIVIÈRES,100,29,accepted
Conseil économique du Nouveau-Brunswick inc.|Conseil économique du Nouveau-Brunswick inc.,CONSEIL ECONOMIQUE DU NOUVEAU BRUNSWICK INC,Conseil économique du Nouveau-Brunswick inc.|Conseil économique du Nouveau-Brunswick inc.,100,29,accepted
ENGLISH LANGUAGE ARTS NETWORK - QUEBEC,ENGLISH LANGUAGE ARTS NETWORK QUEBEC,ENGLISH LANGUAGE ARTS NETWORK - QUEBEC,100,29,accepted
INUIT TAPIRIIT KANATAMI,INUIT TAPIRIIT KANATAMI,INUIT TAPIRIIT KANATAMI,100,29,accepted
Island East Tourism Group Inc.|Island East Tourism Group Inc.,ISLAND EAST TOURISM GROUP INC,Island East Tourism Group Inc.|Island East Tourism Group Inc.,100,29,accepted
TVA PUBLICATIONS INC.,TVA PUBLICATIONS INC,TVA PUBLICATIONS INC,100,29,accepted
Town of Port Hawkesbury|Town of Port Hawkesbury,TOWN OF PORT HAWKESBURY,Town of Port Hawkesbury|Town of Port Hawkesbury,100,29,accepted
CBDC Westmorland Albert Inc.|CBDC Westmorland Albert Inc.,CBDC WESTMORLAND ALBERT INC,CBDC Westmorland Albert Inc.|CBDC Westmorland Albert Inc.,100,28,accepted
CONSEIL SCOLAIRE-COMMUNAUTAIRE ÉVANGÉLINE LTÉE,CONSEIL SCOLAIRE COMMUNAUTAIRE EVANGELINE LTEE,CONSEIL SCOLAIRE-COMMUNAUTAIRE ÉVANGÉLINE LTÉE,100,28,accepted
FÉDÉRATION ACADIENNE DE LA NOUVELLE-ÉCOSSE,FEDERATION ACADIENNE DE LA NOUVELLE ECOSSE,FÉDÉRATION ACADIENNE DE LA NOUVELLE-ÉCOSSE,100,28,accepted
INUVIALUIT REGIONAL CORPORATION,INUVIALUIT REGIONAL CORPORATION,INUVIALUIT REGIONAL CORPORATION,100,28,accepted
JAZZ EAST RISING ASSOCIATION,JAZZ EAST RISING ASSOCIATION,JAZZ EAST RISING ASSOCIATION,100,28,accepted
SOCIÉTÉ MI-CARÊME,SOCIETE MI CAREME,SOCIÉTÉ MI-CARÊME,100,28,accepted
SOCIÉTÉ RADIO COMMUNAUTAIRE VICTORIA,SOCIETE RADIO COMMUNAUTAIRE VICTORIA,SOCIÉTÉ RADIO COMMUNAUTAIRE VICTORIA,100,28,accepted
CANADIAN ARTS PRESENTING ASSOCIATION,CANADIAN ARTS PRESENTING ASSOCIATION,CANADIAN ARTS PRESENTING ASSOCIATION,100,27,accepted
CENTRE FRANCO-ONTARIEN DE FOLKLORE,CENTRE FRANCO ONTARIEN DE FOLKLORE,CENTRE FRANCO-ONTARIEN DE FOLKLORE,100,27,accepted
CONSEIL DES INNUS DE PESSAMIT,CONSEIL DES INNUS DE PESSAMIT,CONSEIL DES INNUS DE PESSAMIT,100,27,accepted
City of Charlottetown|City of Charlottetown,CITY OF CHARLOTTETOWN,City of Charlottetown|City of Charlottetown,100,27,accepted
QUEBEC FARMERS' ASSOCIATION,QUEBEC FARMERS ASSOCIATION,QUEBEC FARMERS' ASSOCIATION,100,27,accepted
REGROUPEMENT FÉMINISTE DU NOUVEAU-BRUNSWICK INC.,REGROUPEMENT FEMINISTE DU NOUVEAU BRUNSWICK INC,REGROUPEMENT FÉMINISTE DU NOUVEAU-BRUNSWICK INC.,100,27,accepted
Stanton Bros. Limited,STANTON BROS LIMITED,Stanton Bros. Limited,100,27,accepted
ASSOCIATION DU CENTRE COMMUNAUTAIRE DE LA RIVE-SUD,ASSOCIATION DU CENTRE COMMUNAUTAIRE DE LA RIVE SUD,ASSOCIATION DU CENTRE COMMUNAUTAIRE DE LA RIVE-SUD,100,26,accepted
DVL PUBLISHING INCORPORATED,DVL PUBLISHING INCORPORATED,DVL PUBLISHING INCORPORATED,100,26,accepted
FREDERICTON PLAYHOUSE INC.,FREDERICTON PLAYHOUSE INC,FREDERICTON PLAYHOUSE INC.,100,26,accepted
IMPERIAL THEATRE INC.,IMPERIAL THEATRE INC,IMPERIAL THEATRE INC.,100,26,accepted
MUTEK,MUTEK,MUTEK,100,26,accepted
Marine Renewables Canada Society|Marine Renewables Canada Society,MARINE RENEWABLES CANADA SOCIETY,Marine Renewables Canada Society|Marine Renewables Canada Society,100,26,accepted
SCOTIA CHAMBER PLAYERS,SCOTIA CHAMBER PLAYERS,SCOTIA CHAMBER PLAYERS,100,26,accepted
Tourism Industry Association of Newfoundland and Labrador|Tourism Industry Association of Newfoundland and Labrador,TOURISM INDUSTRY ASSOCIATION OF NEWFOUNDLAND AND LABRADOR,Tourism Industry Association of Newfoundland and Labrador|Tourism Industry Association of Newfoundland and Labrador,100,26,accepted
ABEGWEIT FIRST NATION,ABEGWEIT FIRST NATION,ABEGWEIT FIRST NATION,100,25,accepted
ASSOCIATION FRANCOPHONE DES AÎNÉS DU NOUVEAU-BRUNSWICK INC,ASSOCIATION FRANCOPHONE DES AINES DU NOUVEAU BRUNSWICK INC,ASSOCIATION FRANCOPHONE DES AÎNÉS DU NOUVEAU-BRUNSWICK INC,100,25,accepted
ASSOCIATION FRANCOPHONE DES MUNICIPALITÉS DU NOUVEAU-BRUNSWICK INC.,ASSOCIATION FRANCOPHONE DES MUNICIPALITES DU NOUVEAU BRUNSWICK INC,ASSOCIATION FRANCOPHONE DES MUNICIPALITÉS DU NOUVEAU-BRUNSWICK INC.,100,25,accepted
Atlantic Policy Congress of First Nations Chiefs Secretariat|Atlantic Policy Congress of First Nations Chiefs Secretariat,ATLANTIC POLICY CONGRESS OF FIRST NATIONS CHIEFS SECRETARIAT,Atlantic Policy Congress of First Nations Chiefs Secretariat|Atlantic Policy Congress of First Nations Chiefs Secretariat,100,25,accepted
CBDC Northumberland Inc.|CBDC Northumberland Inc.,CBDC NORTHUMBERLAND INC,CBDC Northumberland Inc.|CBDC Northumberland Inc.,100,25,accepted
COLLECTIF 08,COLLECTIF 08,COLLECTIF 08,100,25,accepted
COMPAGNIE THÉÂTRE CRÉOLE,COMPAGNIE THEATRE CREOLE,COMPAGNIE THÉÂTRE CRÉOLE,100,25,accepted
CONSEIL RÉV.S.-E. PERREY INC.,CONSEIL REV S E PERREY INC,CONSEIL RÉV.S.-E. PERREY INC.,100,25,accepted
Centre d'entrepreneurship du Restigouche Inc.|Centre d'entrepreneurship du Restigouche Inc.,CENTRE D ENTREPRENEURSHIP DU RESTIGOUCHE INC,Centre d'entrepreneurship du Restigouche Inc.|Centre d'entrepreneurship du Restigouche Inc.,100,25,accepted
Metro Business Opportunities Corporation|Metro Business Opportunities Corporation,METRO BUSINESS OPPORTUNITIES CORPORATION,Metro Business Opportunities Corporation|Metro Business Opportunities Corporation,100,25,accepted
Restigouche CBDC Inc.|Restigouche CBDC Inc.,RESTIGOUCHE CBDC INC,Restigouche CBDC Inc.|Restigouche CBDC Inc.,100,25,accepted
ÉDITIONS L'ARTICHAUT INC.,EDITIONS L ARTICHAUT INC,ÉDITIONS L'ARTICHAUT INC.,100,25,accepted
Cooke Aquaculture Inc.|Cooke Aquaculture Inc.,COOKE AQUACULTURE INC,Cooke Aquaculture Inc.|Cooke Aquaculture Inc.,100,24,accepted
DIFFUSION SAGUENAY INC.,DIFFUSION SAGUENAY INC,DIFFUSION SAGUENAY INC.,100,24,accepted
JOHN HUMPHREY CENTRE FOR PEACE AND HUMAN RIGHTS,JOHN HUMPHREY CENTRE FOR PEACE AND HUMAN RIGHTS,JOHN HUMPHREY CENTRE FOR PEACE AND HUMAN RIGHTS,100,24,accepted
MI'KMAW-KINA'MATNEWEY,MI KMAW KINA MATNEWEY,MI'KMAW-KINA'MATNEWEY,100,24,accepted
MICRO - MOUVEMENT DES INTERVENANTS ET INTERVENANTES COMMUNAUTAIRES EN RADIO DE L'ONTARIO,MICRO MOUVEMENT DES INTERVENANTS ET INTERVENANTES COMMUNAUTAIRES EN RADIO DE L ONTARIO,MICRO - MOUVEMENT DES INTERVENANTS ET INTERVENANTES COMMUNAUTAIRES EN RADIO DE L'ONTARIO,100,24,accepted
MUSÉE DU FJORD,MUSEE DU FJORD,MUSÉE DU FJORD,100,24,accepted
RED ROCK INDIAN BAND,RED ROCK INDIAN BAND,RED ROCK INDIAN BAND,100,24,accepted
REGIONAL ASSOCIATION OF WEST QUEBECERS,REGIONAL ASSOCIATION OF WEST QUEBECERS,REGIONAL ASSOCIATION OF WEST QUEBECERS,100,24,accepted
Shelburne County Business Development Center Limited|Shelburne County Business Development Center Limited,SHELBURNE COUNTY BUSINESS DEVELOPMENT CENTER LIMITED,Shelburne County Business Development Center Limited|Shelburne County Business Development Center Limited,100,24,accepted
The Governing Council of The Salvation Army in Canada,THE GOVERNING COUNCIL OF THE SALVATION ARMY IN CANADA,The Governing Council of The Salvation Army in Canada,100,24,accepted
Town of Channel-Port aux Basques|Town of Channel-Port aux Basques,TOWN OF CHANNEL PORT AUX BASQUES,Town of Channel-Port aux Basques|Town of Channel-Port aux Basques,100,24,accepted
ALLIANCE FRANÇAISE DE TORONTO,ALLIANCE FRANCAISE DE TORONTO,ALLIANCE FRANÇAISE DE TORONTO,100,23,accepted
ASSEMBLÉE COMMUNAUTAIRE FRANSASKOISE (A.C.F.) INC.,ASSEMBLEE COMMUNAUTAIRE FRANSASKOISE A C F INC,ASSEMBLÉE COMMUNAUTAIRE FRANSASKOISE (ACF) INC.,100,23,accepted
ASSEMBLÉE COMMUNAUTAIRE FRANSASKOISE (ACF) INC.,ASSEMBLEE COMMUNAUTAIRE FRANSASKOISE ACF INC,ASSEMBLÉE COMMUNAUTAIRE FRANSASKOISE (ACF) INC.,100,23,accepted
ASSOCIATION POUR LA CRÉATION ET LA RECHERCHE ÉLECTRO-ACOUSTIQUES DU QUÉBEC,ASSOCIATION POUR LA CREATION ET LA RECHERCHE ELECTRO ACOUSTIQUES DU QUEBEC,ASSOCIATION POUR LA CRÉATION ET LA RECHERCHE ÉLECTRO-ACOUSTIQUES DU QUÉBEC,100,23,accepted
CANADA'S NATIONAL BALLET SCHOOL/L'ECOLE NATIONALE DE BALLET DU CANADA,CANADA S NATIONAL BALLET SCHOOL L ECOLE NATIONALE DE BALLET DU CANADA,CANADA'S NATIONAL BALLET SCHOOL/L'ECOLE NATIONALE DE BALLET DU CANADA,100,23,accepted
CARREFOUR JEUNESSE-EMPLOI DE CÔTE-DES-NEIGES (CJECDN),CARREFOUR JEUNESSE EMPLOI DE COTE DES NEIGES CJECDN,CARREFOUR JEUNESSE-EMPLOI DE CÔTE-DES-NEIGES (CJECDN),100,23,accepted
